Emma,F,20958,3704186,2014
Olivia,F,19829,3704186,2014
Sophia,F,18636,3704186,2014
Isabella,F,17125,3704186,2014
Ava,F,15721,3704186,2014
Mia,F,13525,3704186,2014
Emily,F,12656,3704186,2014
Abigail,F,12102,3704186,2014
Madison,F,10328,3704186,2014
Charlotte,F,10119,3704186,2014
Harper,F,9611,3704186,2014
Sofia,F,9605,3704186,2014
Elizabeth,F,9581,3704186,2014
Avery,F,9576,3704186,2014
Amelia,F,8803,3704186,2014
Evelyn,F,8750,3704186,2014
Ella,F,8565,3704186,2014
Chloe,F,8559,3704186,2014
Victoria,F,8004,3704186,2014
Grace,F,7652,3704186,2014
Aubrey,F,7631,3704186,2014
Zoey,F,7430,3704186,2014
Natalie,F,7112,3704186,2014
Addison,F,7003,3704186,2014
Lillian,F,6923,3704186,2014
Brooklyn,F,6832,3704186,2014
Lily,F,6783,3704186,2014
Hannah,F,6592,3704186,2014
Layla,F,6460,3704186,2014
Scarlett,F,6007,3704186,2014
Aria,F,5928,3704186,2014
Zoe,F,5879,3704186,2014
Samantha,F,5732,3704186,2014
Anna,F,5697,3704186,2014
Leah,F,5609,3704186,2014
Audrey,F,5566,3704186,2014
Ariana,F,5500,3704186,2014
Savannah,F,5485,3704186,2014
Allison,F,5475,3704186,2014
Arianna,F,5273,3704186,2014
Camila,F,5219,3704186,2014
Gabriella,F,5104,3704186,2014
Penelope,F,5087,3704186,2014
Claire,F,5015,3704186,2014
Aaliyah,F,4893,3704186,2014
Sadie,F,4870,3704186,2014
Riley,F,4798,3704186,2014
Skylar,F,4775,3704186,2014
Nora,F,4739,3704186,2014
Sarah,F,4710,3704186,2014
Hailey,F,4617,3704186,2014
Kaylee,F,4550,3704186,2014
Paisley,F,4499,3704186,2014
Kennedy,F,4497,3704186,2014
Ellie,F,4484,3704186,2014
Peyton,F,4450,3704186,2014
Annabelle,F,4360,3704186,2014
Caroline,F,4346,3704186,2014
Serenity,F,4346,3704186,2014
Madelyn,F,4311,3704186,2014
Lucy,F,4297,3704186,2014
Aubree,F,4276,3704186,2014
Nevaeh,F,4250,3704186,2014
Alexa,F,4249,3704186,2014
Alexis,F,4242,3704186,2014
Stella,F,4200,3704186,2014
Violet,F,4190,3704186,2014
Genesis,F,4166,3704186,2014
Mackenzie,F,4156,3704186,2014
Bella,F,4098,3704186,2014
Autumn,F,4076,3704186,2014
Mila,F,4062,3704186,2014
Kylie,F,3962,3704186,2014
Maya,F,3956,3704186,2014
Piper,F,3867,3704186,2014
Alyssa,F,3842,3704186,2014
Taylor,F,3815,3704186,2014
Eleanor,F,3739,3704186,2014
Faith,F,3735,3704186,2014
Naomi,F,3713,3704186,2014
Melanie,F,3697,3704186,2014
Katherine,F,3686,3704186,2014
Eva,F,3684,3704186,2014
Lydia,F,3649,3704186,2014
Brianna,F,3612,3704186,2014
Julia,F,3602,3704186,2014
Ashley,F,3558,3704186,2014
Khloe,F,3550,3704186,2014
Madeline,F,3444,3704186,2014
Ruby,F,3427,3704186,2014
Sophie,F,3391,3704186,2014
Alexandra,F,3315,3704186,2014
London,F,3289,3704186,2014
Lauren,F,3096,3704186,2014
Gianna,F,3080,3704186,2014
Isabelle,F,3079,3704186,2014
Vivian,F,3062,3704186,2014
Alice,F,3054,3704186,2014
Jasmine,F,3039,3704186,2014
Hadley,F,3013,3704186,2014
Kayla,F,3012,3704186,2014
Morgan,F,3005,3704186,2014
Cora,F,2966,3704186,2014
Bailey,F,2948,3704186,2014
Hazel,F,2908,3704186,2014
Reagan,F,2902,3704186,2014
Kimberly,F,2901,3704186,2014
Clara,F,2860,3704186,2014
Sydney,F,2853,3704186,2014
Trinity,F,2815,3704186,2014
Natalia,F,2796,3704186,2014
Valentina,F,2781,3704186,2014
Rylee,F,2777,3704186,2014
Maria,F,2775,3704186,2014
Jocelyn,F,2763,3704186,2014
Aurora,F,2749,3704186,2014
Eliana,F,2742,3704186,2014
Brielle,F,2654,3704186,2014
Liliana,F,2637,3704186,2014
Mary,F,2635,3704186,2014
Elena,F,2616,3704186,2014
Molly,F,2604,3704186,2014
Makayla,F,2588,3704186,2014
Lilly,F,2575,3704186,2014
Andrea,F,2563,3704186,2014
Quinn,F,2553,3704186,2014
Jordyn,F,2551,3704186,2014
Nicole,F,2537,3704186,2014
Adalynn,F,2523,3704186,2014
Delilah,F,2513,3704186,2014
Kinsley,F,2445,3704186,2014
Ariel,F,2443,3704186,2014
Kendall,F,2441,3704186,2014
Paige,F,2416,3704186,2014
Payton,F,2412,3704186,2014
Willow,F,2408,3704186,2014
Mya,F,2407,3704186,2014
Mariah,F,2405,3704186,2014
Brooke,F,2390,3704186,2014
Jade,F,2390,3704186,2014
Lyla,F,2381,3704186,2014
Luna,F,2340,3704186,2014
Ximena,F,2339,3704186,2014
Isabel,F,2330,3704186,2014
Mckenzie,F,2322,3704186,2014
Ivy,F,2289,3704186,2014
Josephine,F,2286,3704186,2014
Amy,F,2193,3704186,2014
Laila,F,2146,3704186,2014
Eden,F,2136,3704186,2014
Isla,F,2135,3704186,2014
Angelina,F,2125,3704186,2014
Adalyn,F,2119,3704186,2014
Londyn,F,2094,3704186,2014
Rachel,F,2088,3704186,2014
Destiny,F,2074,3704186,2014
Melody,F,2064,3704186,2014
Brooklynn,F,2062,3704186,2014
Juliana,F,2062,3704186,2014
Kaitlyn,F,2059,3704186,2014
Gracie,F,2050,3704186,2014
Emery,F,2046,3704186,2014
Norah,F,2007,3704186,2014
Emilia,F,2001,3704186,2014
Reese,F,1971,3704186,2014
Sara,F,1971,3704186,2014
Aliyah,F,1970,3704186,2014
Elise,F,1967,3704186,2014
Margaret,F,1950,3704186,2014
Catherine,F,1943,3704186,2014
Vanessa,F,1926,3704186,2014
Gabrielle,F,1922,3704186,2014
Katelyn,F,1919,3704186,2014
Arabella,F,1911,3704186,2014
Valeria,F,1892,3704186,2014
Valerie,F,1886,3704186,2014
Adriana,F,1875,3704186,2014
Everly,F,1872,3704186,2014
Jessica,F,1801,3704186,2014
Daisy,F,1789,3704186,2014
Rebecca,F,1780,3704186,2014
Summer,F,1778,3704186,2014
Makenzie,F,1777,3704186,2014
Lila,F,1775,3704186,2014
Julianna,F,1773,3704186,2014
Callie,F,1761,3704186,2014
Ryleigh,F,1754,3704186,2014
Michelle,F,1751,3704186,2014
Alaina,F,1746,3704186,2014
Presley,F,1743,3704186,2014
Angela,F,1737,3704186,2014
Harmony,F,1728,3704186,2014
Alina,F,1713,3704186,2014
Rose,F,1699,3704186,2014
Athena,F,1690,3704186,2014
Emerson,F,1683,3704186,2014
Adelyn,F,1674,3704186,2014
Alana,F,1674,3704186,2014
Izabella,F,1669,3704186,2014
Hayden,F,1666,3704186,2014
Esther,F,1665,3704186,2014
Cali,F,1661,3704186,2014
Marley,F,1649,3704186,2014
Fiona,F,1647,3704186,2014
Stephanie,F,1643,3704186,2014
Cecilia,F,1640,3704186,2014
Jayla,F,1622,3704186,2014
Kate,F,1620,3704186,2014
Kinley,F,1617,3704186,2014
Genevieve,F,1609,3704186,2014
Alexandria,F,1606,3704186,2014
Eliza,F,1603,3704186,2014
Alivia,F,1600,3704186,2014
Kylee,F,1590,3704186,2014
Giselle,F,1576,3704186,2014
Arya,F,1556,3704186,2014
Alayna,F,1547,3704186,2014
Leilani,F,1539,3704186,2014
Ana,F,1536,3704186,2014
Adeline,F,1530,3704186,2014
Tessa,F,1526,3704186,2014
Jennifer,F,1521,3704186,2014
Finley,F,1510,3704186,2014
Melissa,F,1508,3704186,2014
Aniyah,F,1497,3704186,2014
Daniela,F,1495,3704186,2014
Keira,F,1469,3704186,2014
Daleyza,F,1466,3704186,2014
Hope,F,1448,3704186,2014
Charlie,F,1438,3704186,2014
Lucia,F,1434,3704186,2014
Gabriela,F,1414,3704186,2014
Mckenna,F,1405,3704186,2014
Parker,F,1402,3704186,2014
Brynlee,F,1397,3704186,2014
Lola,F,1389,3704186,2014
Amaya,F,1367,3704186,2014
Maggie,F,1355,3704186,2014
Miranda,F,1352,3704186,2014
Anastasia,F,1343,3704186,2014
Lexi,F,1334,3704186,2014
Georgia,F,1333,3704186,2014
Leila,F,1331,3704186,2014
Iris,F,1329,3704186,2014
Kenzie,F,1328,3704186,2014
Jordan,F,1313,3704186,2014
Cassidy,F,1310,3704186,2014
Jacqueline,F,1309,3704186,2014
Vivienne,F,1297,3704186,2014
Noelle,F,1294,3704186,2014
Camille,F,1293,3704186,2014
Adrianna,F,1286,3704186,2014
Josie,F,1286,3704186,2014
Teagan,F,1285,3704186,2014
Allie,F,1280,3704186,2014
Annabella,F,1279,3704186,2014
Juliette,F,1272,3704186,2014
Kendra,F,1271,3704186,2014
Juliet,F,1268,3704186,2014
Sienna,F,1264,3704186,2014
Kali,F,1258,3704186,2014
Brynn,F,1257,3704186,2014
Danielle,F,1244,3704186,2014
Maci,F,1238,3704186,2014
Jenna,F,1237,3704186,2014
Raelynn,F,1237,3704186,2014
Haley,F,1233,3704186,2014
Delaney,F,1232,3704186,2014
Paris,F,1230,3704186,2014
Alexia,F,1224,3704186,2014
Lyric,F,1221,3704186,2014
Gemma,F,1218,3704186,2014
Lilliana,F,1215,3704186,2014
Angel,F,1201,3704186,2014
Chelsea,F,1195,3704186,2014
Evangeline,F,1188,3704186,2014
Ayla,F,1187,3704186,2014
Kayleigh,F,1173,3704186,2014
Katie,F,1168,3704186,2014
Lena,F,1168,3704186,2014
